,beauty,car_auto,celeb,economy,education,entertainment,food_cooking,game,government,hobbies,kids,life_style,movie,music,news,pet,sports_health,tech,travel
beauty,0.0,0.5384615384615385,0.8076923076923076,0.6153846153846154,0.5384615384615385,0.8461538461538461,0.4807692307692307,0.5,0.4615384615384615,0.5192307692307693,0.5769230769230769,0.75,0.4807692307692307,0.6346153846153846,0.5576923076923076,0.5769230769230769,0.6153846153846154,0.5961538461538461,0.6346153846153846
car_auto,0.5384615384615385,0.0,0.5,0.4038461538461538,0.36538461538461536,0.4038461538461538,0.5,0.6538461538461539,0.38461538461538464,0.4423076923076923,0.4423076923076923,0.6153846153846154,0.5192307692307693,0.4615384615384615,0.5576923076923076,0.6346153846153846,0.6346153846153846,0.5769230769230769,0.6346153846153846
celeb,0.8076923076923076,0.5,0.0,0.4807692307692307,0.5,0.923076923076923,0.4807692307692307,0.5769230769230769,0.5769230769230769,0.5192307692307693,0.5769230769230769,0.7115384615384615,0.7307692307692307,0.6153846153846154,0.6538461538461539,0.5192307692307693,0.5576923076923076,0.4807692307692307,0.6346153846153846
economy,0.6153846153846154,0.4038461538461538,0.4807692307692307,0.0,0.6153846153846154,0.8269230769230769,0.4230769230769231,0.5961538461538461,0.7115384615384615,0.4807692307692307,0.4615384615384615,0.5961538461538461,0.4807692307692307,0.5576923076923076,0.5961538461538461,0.4038461538461538,0.4230769230769231,0.6153846153846154,0.7115384615384615
education,0.5384615384615385,0.36538461538461536,0.5,0.6153846153846154,0.0,0.7692307692307693,0.4615384615384615,0.4230769230769231,0.7115384615384615,0.5961538461538461,0.6923076923076923,0.6538461538461539,0.5576923076923076,0.8076923076923076,0.7307692307692307,0.38461538461538464,0.5,0.8653846153846154,0.75
entertainment,0.8461538461538461,0.4038461538461538,0.923076923076923,0.8269230769230769,0.7692307692307693,0.0,0.5384615384615385,0.7692307692307693,0.6153846153846154,0.8269230769230769,0.6153846153846154,0.7307692307692307,0.6923076923076923,0.923076923076923,0.7307692307692307,0.5576923076923076,0.6923076923076923,0.8269230769230769,0.8269230769230769
food_cooking,0.4807692307692307,0.5,0.4807692307692307,0.4230769230769231,0.4615384615384615,0.5384615384615385,0.0,0.5961538461538461,0.4230769230769231,0.5192307692307693,0.5192307692307693,0.6923076923076923,0.34615384615384615,0.5384615384615385,0.4423076923076923,0.4423076923076923,0.6153846153846154,0.5961538461538461,0.5576923076923076
game,0.5,0.6538461538461539,0.5769230769230769,0.5961538461538461,0.4230769230769231,0.7692307692307693,0.5961538461538461,0.0,0.7692307692307693,0.5961538461538461,0.6923076923076923,0.5384615384615385,0.9423076923076923,0.75,0.6538461538461539,0.8269230769230769,0.6538461538461539,0.7692307692307693,0.7884615384615384
government,0.4615384615384615,0.38461538461538464,0.5769230769230769,0.7115384615384615,0.7115384615384615,0.6153846153846154,0.4230769230769231,0.7692307692307693,0.0,0.38461538461538464,0.5961538461538461,0.4230769230769231,0.6153846153846154,0.6346153846153846,0.7307692307692307,0.5,0.4807692307692307,0.6923076923076923,0.6923076923076923
hobbies,0.5192307692307693,0.4423076923076923,0.5192307692307693,0.4807692307692307,0.5961538461538461,0.8269230769230769,0.5192307692307693,0.5961538461538461,0.38461538461538464,0.0,0.6538461538461539,0.75,0.38461538461538464,0.6923076923076923,0.4615384615384615,0.6346153846153846,0.7307692307692307,0.5576923076923076,0.75
